Date and Time of initial call,Borough,Property,Location,Species Description,Species Status,Animal Condition,Animal Class,Final Ranger Action,# of Animals,Year,full_address
2021-06-23 16:45:00,Brooklyn,Sternberg Park,Inside locked athletic field under construction,chukar,Exotic,Healthy,Birds,ACC,6.0,2021,"Sternberg Park, Brooklyn, NY"
2021-06-24 10:00:00,Bronx,Haffen Park,Haffen Pool,sparrow,Native,Healthy,Birds,Rehabilitator,4.0,2021,"Haffen Park, Bronx, NY"
2021-06-23 14:30:00,Bronx,Pelham Bay Park,Pelham Bay South,white-tailed deer,Native,,Deer,Unfounded,0.0,2021,"Pelham Bay Park, Bronx, NY"
2021-06-23 13:00:00,Staten Island,Willowbrook Park,The carousel,raccoon,Native,,Small Mammals-RVS,Unfounded,0.0,2021,"Willowbrook Park, Staten Island, NY"
2021-06-23 09:20:00,Queens,Judge Moses Weinstein Playground,Garbage can,virginia opossum,Native,Healthy,Small Mammals-non RVS,ACC,1.0,2021,"Judge Moses Weinstein Playground, Queens, NY"
2021-06-23 09:00:00,Staten Island,Clove Lakes Park,Martling Pond on shore,domestic duck,Domestic,Healthy,Domestic;#Birds,ACC,1.0,2021,"Clove Lakes Park, Staten Island, NY"
2021-06-23 05:30:00,Staten Island,Willowbrook Park,Pond,canada goose,Native,Injured,Birds,Unfounded,0.0,2021,"Willowbrook Park, Staten Island, NY"
2021-06-22 15:00:00,Queens,Travers Park,78th Street Plaza,cat,Domestic,Unhealthy,Domestic,Unfounded,0.0,2021,"Travers Park, Queens, NY"
2021-06-22 15:30:00,Brooklyn,Prospect Park,V/O Drummers Circle,dog,Domestic,Injured,Domestic,ACC,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-06-22 11:30:00,Manhattan,Highbridge Park,Coogan's Bluff Playground,dog,Domestic,,Domestic,Unfounded,0.0,2021,"Highbridge Park, Manhattan, NY"
2021-06-22 11:55:00,Queens,Forest Park,Giovanelli Playground,eastern rat snake,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Forest Park, Queens, NY"
2021-06-22 12:00:00,Manhattan,Inwood Hill Park,214th and Seaman Ave,eastern gray squirrel,Native,Injured,Small Mammals-non RVS,Advised/Educated others,1.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-06-22 11:30:00,Brooklyn,Marine Park,Salt Marsh Nature Trail,domestic rabbit,Domestic,Healthy,Domestic,Unfounded,0.0,2021,"Marine Park, Brooklyn, NY"
2021-06-21 14:02:00,Queens,Queens Botanical Garden,Education building,northern cardinal,Native,Injured,Birds,Rehabilitator,1.0,2021,"Queens Botanical Garden, Queens, NY"
2021-06-21 14:45:00,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,PEP Trailer,mallard duck,Native,Healthy,Birds,ACC,1.0,2021,"Franklin D. Roosevelt Boardwalk and Beach, Staten Island, NY"
2021-06-21 08:50:00,Bronx,Van Cortlandt Park,Van Cortlandt Lake and its trails,double-crested cormorant,Native,Healthy,Birds,Monitored Animal,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-06-21 09:20:00,Manhattan,Central Park,West 97 St entrance,raccoon,Native,Injured,Small Mammals-RVS,Unfounded,0.0,2021,"Central Park, Manhattan, NY"
2021-06-21 08:50:00,Bronx,Van Cortlandt Park,Adjacent to Golf Clubhouse past golf cart parking,double-crested cormorant,Native,Injured,Birds,Unfounded,0.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-06-16 12:00:00,Brooklyn,Prospect Park,Prospect Lake near LeFrak Center,domestic duck,Domestic,Unhealthy,Domestic;#Birds,ACC,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-06-20 09:00:00,Manhattan,Inwood Hill Park,Northwest edge of Gaelic Field,common snapping turtle,Native,,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-06-19 09:00:00,Manhattan,Inwood Hill Park,Payson Visitor Center,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-06-20 14:30:00,Queens,Udall's Park Preserve,Trail off of 247th St and 40th Ave,chicken,Domestic,Unhealthy,Domestic;#Birds,ACC,1.0,2021,"Udall's Park Preserve, Queens, NY"
2021-06-19 14:00:00,Queens,Rockaway Beach and Boardwalk,On Beach 109th St,dog,Domestic,Healthy,Domestic,ACC,1.0,2021,"Rockaway Beach and Boardwalk, Queens, NY"
2021-06-19 09:15:00,Bronx,Van Cortlandt Park,Van Cortlandt Pool,raccoon,Native,Healthy,Small Mammals-RVS,Unfounded,0.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-06-18 16:00:00,Bronx,Crotona Park,Behind Crotona Park Nature Center,argentine black and white tegu,Exotic,Unhealthy,Terrestrial Reptile or Amphibian,ACC,1.0,2021,"Crotona Park, Bronx, NY"
2021-06-17 15:40:00,Queens,Flushing Meadows Corona Park,Fountain of the Planets,mallard duck,Native,DOA,Birds,Submitted for DEC Testing,12.0,2021,"Flushing Meadows Corona Park, Queens, NY"
2021-06-17 08:00:00,Manhattan,Riverside Park,Entrance at Riverside Dr and West 108th St,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2021,"Riverside Park, Manhattan, NY"
2021-06-17 10:00:00,Manhattan,William McCray Playground,playground cross street West 158th,american kestrel,Native,Injured,Raptors,Advised/Educated others,1.0,2021,"William McCray Playground, Manhattan, NY"
2021-06-16 17:20:00,Bronx,Van Cortlandt Park,Mosholu Avenue/ Broadway,red-tailed hawk,Native,Injured,Raptors,Rehabilitator,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-06-16 10:15:00,Brooklyn,Red Hook Recreation Area,Clinton Street south of Bay Street,raccoon,Native,Healthy,Small Mammals-RVS,Unfounded,0.0,2021,"Red Hook Recreation Area, Brooklyn, NY"
2021-06-11 12:00:00,Brooklyn,Canarsie Park,By parkhouse,cat,Domestic,Healthy,Domestic,ACC,1.0,2021,"Canarsie Park, Brooklyn, NY"
2021-06-16 10:13:00,Manhattan,Central Park,Central Park Zoo,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,2.0,2021,"Central Park, Manhattan, NY"
2021-06-15 15:20:00,Queens,Rockaway Beach and Boardwalk,Beach 43rd Street,dog,Domestic,,Domestic,Unfounded,0.0,2021,"Rockaway Beach and Boardwalk, Queens, NY"
2021-06-15 08:30:00,Manhattan,Inwood Hill Park,Gaelic Field,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-06-15 10:30:00,Brooklyn,Bensonhurst Park,Athletic Field,canada goose,Native,Injured,Birds,Unfounded,0.0,2021,"Bensonhurst Park, Brooklyn, NY"
2021-06-14 15:30:00,Manhattan,Central Park,Central Park Arsenal,domestic duck,Domestic,Healthy,Domestic;#Birds,ACC,1.0,2021,"Central Park, Manhattan, NY"
2021-06-14 11:00:00,Brooklyn,Prospect Park,South shore of Lake,canada goose,Native,Unhealthy,Birds,Rehabilitator,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-06-14 12:15:00,Brooklyn,Parade Ground,Erasmus Hall Educational Campus,red-tailed hawk,Native,Healthy,Raptors,Advised/Educated others,1.0,2021,"Parade Ground, Brooklyn, NY"
2021-06-13 14:10:00,Queens,Flushing Meadows Corona Park,Near the Queens Zoo,rock dove,Native,Injured,Birds,ACC,1.0,2021,"Flushing Meadows Corona Park, Queens, NY"
2021-06-13 13:59:00,Staten Island,Clove Lakes Park,Brooke's Pond,catfish,Native,DOA,Fish-numerous quantity,Advised/Educated others,12.0,2021,"Clove Lakes Park, Staten Island, NY"
2021-06-13 10:30:00,Queens,Alley Pond Park,Oakland Lake,red-eared slider,Invasive,DOA,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Alley Pond Park, Queens, NY"
2021-06-13 13:20:00,Queens,Highland Park,Path west of the Ridgewood Reservoir,raccoon,Native,Healthy,Small Mammals-RVS,Monitored Animal,1.0,2021,"Highland Park, Queens, NY"
2021-06-13 10:00:00,Manhattan,Central Park,59th Street Pond near Gapstow Bridge,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Advised/Educated others,1.0,2021,"Central Park, Manhattan, NY"
2021-06-12 12:00:00,Queens,Astoria Park,Hoyt Ave N and 19th Street,red-tailed hawk,Native,Injured,Raptors,Rehabilitator,1.0,2021,"Astoria Park, Queens, NY"
2021-06-12 16:02:00,Manhattan,Riverside Park,79th St Boat Basin,chicken,Domestic,Unhealthy,Domestic;#Birds,ACC,1.0,2021,"Riverside Park, Manhattan, NY"
2021-06-12 15:00:00,Staten Island,Lemon Creek Park,Rocks under bridge that is behind playground,canada goose,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Lemon Creek Park, Staten Island, NY"
2021-06-12 12:45:00,Bronx,Bill Rainey Park,Bill Rainey Park Public Restrooms,cat,Domestic,Healthy,Domestic,Advised/Educated others,1.0,2021,"Bill Rainey Park, Bronx, NY"
2021-06-12 12:15:00,Bronx,Mullaly Park,Mullaly Park North Ballfields,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Mullaly Park, Bronx, NY"
2021-06-11 13:30:00,Manhattan,Riverside Park,79th Street Boat Basin,mallard duck,Native,Healthy,Birds,Advised/Educated others,1.0,2021,"Riverside Park, Manhattan, NY"
2021-06-11 16:00:00,Bronx,Van Cortlandt Park,Van Cortlandt Park Lake by the golf house,domestic duck,Domestic,Healthy,Domestic;#Birds,Rehabilitator,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-06-11 15:30:00,Bronx,Van Cortlandt Park,Van Cortlandt House Museum,bat (unknown),Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-06-10 14:05:00,Manhattan,Central Park,Hallett Nature Sanctuary,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Central Park, Manhattan, NY"
2021-06-10 12:20:00,Manhattan,Central Park,Field outside the French Gardens in Conservatory Gardens,red-eared slider,Invasive,,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Central Park, Manhattan, NY"
2021-06-10 17:00:00,Brooklyn,Flatbush and Tilden Avenues,By Kings Theater,red-tailed hawk,Native,Injured,Raptors,Rehabilitator,1.0,2021,"Flatbush and Tilden Avenues, Brooklyn, NY"
2021-06-10 17:50:00,Queens,Flushing Meadows Corona Park,Base of the Unisphere,red-tailed hawk,Native,Injured,Raptors,Rehabilitator,1.0,2021,"Flushing Meadows Corona Park, Queens, NY"
2021-06-10 16:20:00,Staten Island,High Rock Park,Altamount House,canada goose,Native,Healthy,Birds,Rehabilitator,1.0,2021,"High Rock Park, Staten Island, NY"
2021-06-09 11:24:00,Queens,Alley Pond Park,Oakland Lake,chicken,Domestic,Healthy,Domestic;#Birds,Unfounded,0.0,2021,"Alley Pond Park, Queens, NY"
2021-06-09 12:00:00,Queens,406 Woodward Avenue,Found behind fence,american kestrel,Native,Injured,Raptors,Rehabilitator,1.0,2021,"406 Woodward Avenue, Queens, NY"
2021-06-09 14:30:00,Brooklyn,Prospect Park,East Drive V/O Zucker Playground,eastern gray squirrel,Native,DOA,Small Mammals-non RVS,Relocated/Condition Corrected,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-06-08 11:44:00,Manhattan,West Harlem Piers,Marginal St and St Clare Pl,chicken,Domestic,Unhealthy,Birds,Rehabilitator,1.0,2021,"West Harlem Piers, Manhattan, NY"
2021-06-07 14:30:00,Brooklyn,Prospect Park,Near the Audubon Center,common grackle,Native,Injured,Birds,ACC,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-06-07 10:45:00,Brooklyn,Leif Ericson Park,3rd Ave,american kestrel,Native,Injured,Raptors,Unfounded,0.0,2021,"Leif Ericson Park, Brooklyn, NY"
2021-06-07 10:00:00,Brooklyn,Fort Greene Park,Washington and Willoughby,canada goose,Native,Injured,Birds,Rehabilitator,1.0,2021,"Fort Greene Park, Brooklyn, NY"
2021-06-05 22:50:00,Staten Island,Snug Harbor Cultural Center,Green/Boat Pond,mallard duck,Native,Injured,Birds,Monitored Animal,1.0,2021,"Snug Harbor Cultural Center, Staten Island, NY"
2021-06-07 09:00:00,Staten Island,Clove Lakes Park,Royal Oak Circle,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Clove Lakes Park, Staten Island, NY"
2021-06-06 10:58:00,Bronx,Bailey Playground,In the playground,rock dove,Native,Healthy,Birds,Monitored Animal,2.0,2021,"Bailey Playground, Bronx, NY"
2021-06-06 13:00:00,Queens,Rockaway Beach and Boardwalk,Rockaway Beach 124th Street,herring gull,Native,Injured,Birds,ACC,1.0,2021,"Rockaway Beach and Boardwalk, Queens, NY"
2021-01-04 13:30:00,Bronx,Crotona Park,Outside M&O Office,cat,Domestic,Injured,Domestic,Unfounded,0.0,2021,"Crotona Park, Bronx, NY"
2021-06-05 12:00:00,Queens,Rockaway Beach and Boardwalk,Beach 86th Street and Boardwalk,laughing gull,Native,Injured,Birds,ACC,1.0,2021,"Rockaway Beach and Boardwalk, Queens, NY"
2021-06-05 12:45:00,Manhattan,Riverside Park,West 79th inside park,raccoon,Native,Injured,Small Mammals-RVS,Unfounded,0.0,2021,"Riverside Park, Manhattan, NY"
2021-06-05 09:30:00,Bronx,Raoul Wallenberg Forest,Southwest Entrance,raccoon,Native,Injured,Small Mammals-RVS,Unfounded,0.0,2021,"Raoul Wallenberg Forest, Bronx, NY"
2021-06-05 11:02:00,Queens,Rockaway Beach and Boardwalk,Boardwalk and B108th,diamondback terrapin,Native,Healthy,Terrestrial Reptile or Amphibian,Advised/Educated others,1.0,2021,"Rockaway Beach and Boardwalk, Queens, NY"
2021-06-05 08:45:00,Manhattan,Central Park,West 81st Street and Central Park West,red-eared slider,Invasive,Injured,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Central Park, Manhattan, NY"
2021-06-04 12:00:00,Staten Island,Clove Lakes Park,Martling Ave and Slosson Ave,raptor (unknown),Native,Unhealthy,Raptors,Unfounded,0.0,2021,"Clove Lakes Park, Staten Island, NY"
2021-06-04 10:25:00,Manhattan,Central Park,90th St by the Reservoir,raccoon,Native,Healthy,Small Mammals-RVS,Unfounded,0.0,2021,"Central Park, Manhattan, NY"
2021-06-03 15:30:00,Brooklyn,Prospect Park,East Drive south of Zoo,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-06-03 17:30:00,Queens,Forest Park,Skate Park,blue jay,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Forest Park, Queens, NY"
2021-06-02 10:00:00,Bronx,Van Cortlandt Park,Van Cortlandt Nature Center,barn swallow,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-06-02 13:00:00,Bronx,Van Cortlandt Park,Van Cortlandt Nature Center,bird (unknown),,,Birds,Relocated/Condition Corrected,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-06-03 13:00:00,Queens,Kissena Park,Kissena Lake,mute swan,Invasive,Healthy,Birds,Monitored Animal,1.0,2021,"Kissena Park, Queens, NY"
2021-06-03 09:15:00,Queens,Cunningham Park,"Garage, lawnmower area",raccoon,Native,Healthy,Small Mammals-RVS,Unfounded,0.0,2021,"Cunningham Park, Queens, NY"
2021-06-03 09:45:00,Brooklyn,Prospect Park,Long Meadow,wood duck,Native,Healthy,Birds,Rehabilitator,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-06-03 08:30:00,Queens,Juniper Valley Park,"40.71998157323772, -73.88377368998059     Running track",raccoon,Native,Injured,Small Mammals-RVS,ACC,1.0,2021,"Juniper Valley Park, Queens, NY"
2021-06-01 09:30:00,Staten Island,Wolfe's Pond Park,Near Acme Pond,common grackle,Native,Unhealthy,Birds,Unfounded,0.0,2021,"Wolfe's Pond Park, Staten Island, NY"
2021-06-02 09:39:00,Staten Island,Clove Lakes Park,By the Basketball courts,turtle (unknown),,Healthy,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Clove Lakes Park, Staten Island, NY"
2021-06-02 11:30:00,Queens,Forest Park,Skate Park,blue jay,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Forest Park, Queens, NY"
2021-06-02 10:15:00,Staten Island,Freshkills Park,William T. Davis Wildlife Refuge,spiny softshell turtle,Exotic,Healthy,Terrestrial Reptile or Amphibian,Rehabilitator,1.0,2021,"Freshkills Park, Staten Island, NY"
2021-06-02 07:55:00,Queens,Fort Totten Park,Fort Totten Visitor Center,warbling vireo,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Fort Totten Park, Queens, NY"
2021-06-01 17:00:00,Queens,Flushing Meadows Corona Park,Marina Parking Lot,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,1.0,2021,"Flushing Meadows Corona Park, Queens, NY"
2021-06-01 13:15:00,Bronx,Ranaqua Park,Ranaqua Garage,cat,Domestic,Injured,Domestic,ACC,1.0,2021,"Ranaqua Park, Bronx, NY"
2021-06-01 15:00:00,Manhattan,Morningside Park,Barbecue Area #5,snake (unknown),,,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Morningside Park, Manhattan, NY"
2021-06-01 15:30:00,Brooklyn,Marine Park,Salt Marsh Nature Center,diamondback terrapin,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,3.0,2021,"Marine Park, Brooklyn, NY"
2021-06-01 10:00:00,Manhattan,Inwood Hill Park,Outside the Inwood Hill Nature Center at 218 St,red-tailed hawk,Native,Unhealthy,Raptors,Rehabilitator,1.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-05-31 09:30:00,Bronx,Bronx Park,By the playground off East 180th Street and Boston Road,chicken,Domestic,Healthy,Domestic;#Birds,ACC,3.0,2021,"Bronx Park, Bronx, NY"
2021-05-31 12:00:00,Bronx,Ranaqua Park,Bay 18,cat,Domestic,Injured,Domestic,Advised/Educated others,0.0,2021,"Ranaqua Park, Bronx, NY"
2021-05-29 15:30:00,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Midland Ave and Father Capodanno Blvd near PEP command,brant goose,Native,Unhealthy,Birds,ACC,1.0,2021,"Franklin D. Roosevelt Boardwalk and Beach, Staten Island, NY"
2021-05-29 13:00:00,Manhattan,Central Park,West 79th and West Dr,dog,Domestic,Healthy,Domestic,ACC,3.0,2021,"Central Park, Manhattan, NY"
2021-05-29 10:57:00,Manhattan,Central Park,Conservatory Waters,mallard duck,Native,Injured,Birds,Unfounded,0.0,2021,"Central Park, Manhattan, NY"
2021-05-28 09:15:00,Brooklyn,Prospect Park,The Boathouse by the boat ramp,mute swan,Invasive,Injured,Birds,Relocated/Condition Corrected,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-05-28 14:00:00,Manhattan,Othmar Ammann Playground,Oak Hydrana shrubs close to 1st Ave,dog,Domestic,Healthy,Domestic,ACC,3.0,2021,"Othmar Ammann Playground, Manhattan, NY"
2021-05-28 17:00:00,Manhattan,Inwood Hill Park,Payson Playground,house sparrow,Native,Injured,Birds,Monitored Animal,1.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-05-28 13:00:00,Manhattan,Inwood Hill Park,Gaelic Field,red-tailed hawk,Native,Injured,Raptors,Unfounded,0.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-05-28 11:30:00,Manhattan,Fort Tryon Park,Field by Met Cloisters,american robin,Native,Unhealthy,Birds,Rehabilitator,1.0,2021,"Fort Tryon Park, Manhattan, NY"
2021-05-27 11:00:00,Brooklyn,Prospect Park,Duck Island,canada goose,Native,Injured,Birds,Monitored Animal,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-05-26 16:30:00,Manhattan,Central Park,Field near 65th St,rock dove,Native,Injured,Birds,Advised/Educated others,1.0,2021,"Central Park, Manhattan, NY"
2021-05-27 08:30:00,Manhattan,Riverside Park,Elington in the Park,dog,Domestic,Injured,Domestic,Advised/Educated others,1.0,2021,"Riverside Park, Manhattan, NY"
2021-05-27 08:30:00,Bronx,Van Cortlandt Park,Barbecue area at 241st street,raccoon,Native,Healthy,Small Mammals-RVS,Relocated/Condition Corrected,2.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-05-27 08:30:00,Staten Island,Blue Heron Park,Poillon Avenue main entrance,eastern box turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Blue Heron Park, Staten Island, NY"
2021-05-26 16:30:00,Brooklyn,Red Hook Recreation Area,V/O Columbia Street Entrance,bird (unknown),,Injured,Birds,Unfounded,0.0,2021,"Red Hook Recreation Area, Brooklyn, NY"
2021-05-26 00:00:00,Manhattan,Inwood Hill Park,Muscota Marsh,canada goose,Native,Injured,Birds,Unfounded,0.0,2021,"Inwood Hill Park, Manhattan, NY"
2021-05-26 12:30:00,Manhattan,Riverside Park,79th Street Boat Basin,canada goose,Native,Healthy,Birds,Advised/Educated others,1.0,2021,"Riverside Park, Manhattan, NY"
2021-05-26 11:00:00,Manhattan,Madison Square Park,North of Ferrgut Statue,eastern gray squirrel,Native,Unhealthy,Small Mammals-non RVS,Unfounded,0.0,2021,"Madison Square Park, Manhattan, NY"
2021-05-26 12:00:00,Bronx,Van Cortlandt Park,Field behind nature center,red-eared slider,Invasive,Healthy,Marine Reptiles,Relocated/Condition Corrected,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-05-26 09:20:00,Bronx,Van Cortlandt Park,Meadow behind VC House,bearded dragon,Exotic,Healthy,Terrestrial Reptile or Amphibian,ACC,1.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-05-25 16:45:00,Brooklyn,Purple Playground,Entrance on 17th St between 5th Ave and 6th Ave,mouse (unknown),,,Small Mammals-non RVS,Unfounded,0.0,2021,"Purple Playground, Brooklyn, NY"
2021-05-25 10:30:00,Brooklyn,Prospect Park,South Drive,turtle (unknown),,,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Prospect Park, Brooklyn, NY"
2021-05-25 10:00:00,Manhattan,Central Park,"Strawberry Fields, East of John Lennon Memorial on the grass",red-eared slider,Invasive,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Central Park, Manhattan, NY"
2021-05-25 10:56:00,Bronx,Pelham Bay Park,Orchard Beach Drop-off Road,canada goose,Native,Healthy,Birds,Rehabilitator,3.0,2021,"Pelham Bay Park, Bronx, NY"
2021-05-25 10:45:00,Staten Island,Blue Heron Park,Blue Heron Park Nature Center entrance,mallard duck,Native,Healthy,Birds,ACC,1.0,2021,"Blue Heron Park, Staten Island, NY"
2021-05-24 12:00:00,Bronx,Fort Independence Playground,In the bushes right in front of the dog run,mallard duck,Native,Healthy,Birds,Rehabilitator,7.0,2021,"Fort Independence Playground, Bronx, NY"
2021-05-24 16:00:00,Brooklyn,Prospect Park,By Boat House,house sparrow,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-05-24 08:05:00,Manhattan,Riverside Park,85th St by Dog Run and Soldiers and Sailors Memorial,raccoon,Native,Unhealthy,Small Mammals-RVS,Unfounded,0.0,2021,"Riverside Park, Manhattan, NY"
2021-05-24 14:30:00,Staten Island,Wolfe's Pond Park,Back parking lot by trails,common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Wolfe's Pond Park, Staten Island, NY"
2021-05-24 10:00:00,Manhattan,Central Park,"Strawberry Fields, W 72nd btwn Central Park West and West Dr",common snapping turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Central Park, Manhattan, NY"
2021-05-24 10:00:00,Staten Island,Conference House Park,"Next to sidewalk along Statterlee St., between Conference House and Ward House",white-tailed deer,Native,DOA,Deer,Advised/Educated others,1.0,2021,"Conference House Park, Staten Island, NY"
2021-05-24 09:15:00,Brooklyn,Coney Island Beach &amp; Boardwalk,"Brighton 2, near the lifeguard stand",american oystercatcher,Native,,Birds,Unfounded,0.0,2021,"Coney Island Beach &amp; Boardwalk, Brooklyn, NY"
2021-05-23 09:30:00,Bronx,Van Cortlandt Park,Broadway & Mosholu Ave,raccoon,Native,Unhealthy,Small Mammals-RVS,Unfounded,0.0,2021,"Van Cortlandt Park, Bronx, NY"
2021-05-23 11:35:00,Queens,Kissena Park,Kissena Lake,python (unknown),Exotic,Healthy,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Kissena Park, Queens, NY"
2021-05-23 10:30:00,Brooklyn,Prospect Park,Lafayette Memorial,bird (unknown),Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Prospect Park, Brooklyn, NY"
2021-05-23 11:30:00,Brooklyn,Brooklyn Bridge Park,Pier 2,common grackle,Native,Healthy,Birds,Relocated/Condition Corrected,1.0,2021,"Brooklyn Bridge Park, Brooklyn, NY"
2021-05-22 12:00:00,Staten Island,Goodhue Park,Playground and Ballfields,dog,Domestic,Unhealthy,Domestic,ACC,2.0,2021,"Goodhue Park, Staten Island, NY"
2021-05-21 18:00:00,Manhattan,Central Park,"The Loch 40.794612, -73.958591",red-tailed hawk,Native,Unhealthy,Raptors,Monitored Animal,1.0,2021,"Central Park, Manhattan, NY"
2021-05-21 12:00:00,Manhattan,Central Park,Westdrive at West 103rd,red-tailed hawk,Native,Unhealthy,Raptors,Monitored Animal,1.0,2021,"Central Park, Manhattan, NY"
2021-05-21 18:00:00,Manhattan,Central Park,Westdrive at West 103rd,red-tailed hawk,Native,Unhealthy,Raptors,Rehabilitator,1.0,2021,"Central Park, Manhattan, NY"
2021-05-21 10:30:00,Queens,Oak Grove Park,Oak Grove Park,red-tailed hawk,Native,Healthy,Raptors,Monitored Animal,1.0,2021,"Oak Grove Park, Queens, NY"
2021-05-21 13:00:00,Manhattan,Central Park,Lightpost 7232A near Bethesda Terrace,turtle (unknown),Native,,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Central Park, Manhattan, NY"
2021-05-21 14:30:00,Manhattan,Central Park,Just West of Conservatory Garden,blue jay,Native,Healthy,Birds,Advised/Educated others,1.0,2021,"Central Park, Manhattan, NY"
2021-05-21 14:00:00,Staten Island,Willowbrook Park,Ballfields,canada goose,Native,Injured,Birds,Unfounded,0.0,2021,"Willowbrook Park, Staten Island, NY"
2021-05-21 13:50:00,Queens,Forest Park,"Forest Park Dr on Myrtle Ave Bridge 40.702206184611015, -73.85073833150923",raccoon,Native,Unhealthy,Small Mammals-RVS,ACC,1.0,2021,"Forest Park, Queens, NY"
2021-05-21 08:00:00,Manhattan,Fort Tryon Park,Lawn near Cloisters,mallard duck,Native,Injured,Birds,Unfounded,0.0,2021,"Fort Tryon Park, Manhattan, NY"
2021-05-21 08:45:00,Queens,Forest Park,"Forest Park Shops, gated playground equipment area in front",cat,Domestic,Unhealthy,Domestic,Monitored Animal,1.0,2021,"Forest Park, Queens, NY"
2021-05-20 12:30:00,Queens,Kissena Park,Kissena Lake,python (unknown),Exotic,Healthy,Terrestrial Reptile or Amphibian,Unfounded,0.0,2021,"Kissena Park, Queens, NY"
2021-05-19 14:50:00,Staten Island,Blue Heron Park,Orange trail,painted turtle,Native,Healthy,Terrestrial Reptile or Amphibian,Relocated/Condition Corrected,1.0,2021,"Blue Heron Park, Staten Island, NY"
